Epoch,Training Loss,Validation Loss
1,0.0063101304695010185,0.006137608550488949
2,0.006025553680956364,0.005806920118629932
3,0.005611787084490061,0.005210998468101025
4,0.00473959743976593,0.003772362368181348
5,0.002840555040165782,0.002347284462302923
6,0.0019464325159788132,0.0017081424593925476
7,0.0016731007490307093,0.0017221595626324415
8,0.0015612759161740541,0.001602289848960936
9,0.0014651657547801733,0.0014883311232551932
10,0.0013776917476207018,0.0014584233285859227
11,0.0013603699626401067,0.0014297006418928504
12,0.0013344375183805823,0.00141402636654675
13,0.0013075278839096427,0.001386065036058426
14,0.0012877493863925338,0.0013627891894429922
15,0.001266838633455336,0.0013374881818890572
16,0.0012433057418093085,0.001308069215156138
17,0.0012141545303165913,0.0012800616677850485
18,0.0011924996506422758,0.0012637223117053509
19,0.0011774263111874461,0.0012505694758147001
20,0.0011673374101519585,0.0012419682461768389
21,0.001158975763246417,0.0012367938179522753
22,0.0011497299419716,0.0012229860294610262
23,0.0011377978371456265,0.001207423978485167
24,0.0011229452211409807,0.0011871010065078735
25,0.0011014619376510382,0.0011591471266001463
26,0.00106921570841223,0.0011108510661870241
27,0.001021024421788752,0.0010342288296669722
28,0.0009519149316474795,0.0009545503999106586
29,0.0008810891886241734,0.0008775830501690507
30,0.0008120998973026872,0.0007945415563881397
31,0.0007347468053922057,0.00068631925387308
32,0.0005985937896184623,0.0005137932603247464
33,0.0004193345957901329,0.00035607069730758667
34,0.0003054642875213176,0.0002544000744819641
35,0.00023604565649293363,0.0002042636479018256
36,0.0001880994823295623,0.00022655760403722525
37,0.00016374597907997668,0.00015223420632537454
38,0.00013420995674096048,0.000140680669574067
39,0.0001198446043417789,0.00013003269850742072
40,0.00011577455006772652,0.00011965529847657308
41,0.00010588569421088323,0.00010963531531160697
42,9.684801625553519e-05,0.00010865610965993255
43,9.091526590054855e-05,0.00010689087503124028
44,8.810198778519407e-05,9.76184819592163e-05
45,8.402525418205187e-05,9.541904728394002e-05
46,8.074355719145387e-05,9.046654304256663e-05
47,7.963747339090332e-05,8.927491580834612e-05
48,7.502571679651737e-05,8.637633436592296e-05
49,7.317058771150187e-05,8.376993355341256e-05
50,7.183353591244668e-05,8.002309186849743e-05
51,6.775393558200449e-05,7.520053623011336e-05
52,6.400256825145334e-05,7.444654329447076e-05
53,6.349633622448891e-05,7.551889575552195e-05
54,6.258117355173454e-05,7.077414193190634e-05
55,5.904284262214787e-05,6.6715496359393e-05
56,5.642062023980543e-05,6.375023804139346e-05
57,5.4283125791698694e-05,5.976292959530838e-05
58,4.965240805177018e-05,5.600075746770017e-05
59,4.642164276447147e-05,5.4255455324891955e-05
60,4.474428715184331e-05,5.015655915485695e-05
61,4.1324230551254004e-05,4.67053396278061e-05
62,3.866412953357212e-05,4.607631854014471e-05
63,3.576862582121976e-05,4.129475200898014e-05
64,3.358318281243555e-05,3.882737291860394e-05
65,3.140642729704268e-05,3.7540481571340933e-05
66,2.9684650144190527e-05,3.4637887438293546e-05
67,2.781486909952946e-05,3.313185152364895e-05
68,2.6409867132315412e-05,3.203095911885612e-05
69,2.4896522518247366e-05,3.013602690771222e-05
70,2.3892780518508516e-05,2.9010470825596713e-05
71,2.3181733922683634e-05,2.814840445353184e-05
72,2.193361615354661e-05,2.6791671189130284e-05
73,2.1216834284132347e-05,2.5697570890770294e-05
74,2.019709427258931e-05,2.475561632309109e-05
75,1.9174491171725094e-05,2.2103979063103907e-05
76,1.7482992916484363e-05,2.1186355297686532e-05
77,1.6169133232324384e-05,2.0607149053830653e-05
78,1.553773836349137e-05,1.912657535285689e-05
79,1.4852877939119935e-05,1.862386670836713e-05
80,1.4571191059076227e-05,1.7679029042483307e-05
81,1.3657527233590372e-05,1.7681224562693387e-05
82,1.3298517842486035e-05,1.6465241060359403e-05
83,1.2420287021086551e-05,1.5666624676669016e-05
84,1.1899848686880432e-05,1.5023394553281832e-05
85,1.1329917469993234e-05,1.4487151929643005e-05
86,1.0975676559610292e-05,1.4748361536476295e-05
87,1.1227099093957804e-05,1.383331800752785e-05
88,1.0946454494842328e-05,1.4812625522608869e-05
